학생ID,이름,학기,국어_중간고사,국어_기말고사,수학_중간고사,수학_기말고사,영어_중간고사,영어_기말고사,과학_중간고사,과학_기말고사
1,최수아,1,77,79,98,87,86,90,79,82
1,최수아,2,82,90,78,62,99,76,93,75
1,최수아,3,82,72,86,77,93,92,92,71
1,최수아,4,91,100,77,76,98,94,97,97
1,최수아,5,72,87,89,62,67,61,78,80
1,최수아,6,100,95,68,65,80,84,64,70
2,김예준,1,84,67,77,61,67,76,64,77
2,김예준,2,71,72,85,74,79,93,91,71
2,김예준,3,80,70,61,66,64,98,97,68
2,김예준,4,63,84,86,99,82,100,80,89
2,김예준,5,82,77,67,84,72,97,63,74
2,김예준,6,78,95,85,72,82,71,61,99
3,윤지민,1,79,89,77,68,62,66,94,63
3,윤지민,2,69,75,97,71,79,76,62,65
3,윤지민,3,73,85,75,75,93,90,67,87
3,윤지민,4,80,79,75,61,81,89,76,97
3,윤지민,5,89,76,89,73,89,99,61,69
3,윤지민,6,96,100,93,73,97,90,66,94
4,김지우,1,94,98,75,70,61,95,79,87
4,김지우,2,61,77,60,60,84,96,75,98
4,김지우,3,94,65,62,63,65,91,77,82
4,김지우,4,76,93,86,63,92,98,81,78
4,김지우,5,61,63,91,73,67,93,90,76
4,김지우,6,96,68,77,84,85,76,88,98
5,정하은,1,96,61,81,65,68,84,83,72
5,정하은,2,64,83,75,76,61,62,79,93
5,정하은,3,81,60,67,60,80,78,66,87
5,정하은,4,83,76,67,66,77,86,76,99
5,정하은,5,100,75,66,86,60,61,83,75
5,정하은,6,78,67,98,88,72,79,81,64
6,강지우,1,87,63,83,61,97,91,92,60
6,강지우,2,98,100,81,93,70,89,94,65
6,강지우,3,99,66,95,94,100,93,83,72
6,강지우,4,65,79,79,80,75,84,85,94
6,강지우,5,93,60,78,76,91,60,62,63
6,강지우,6,64,100,73,95,80,60,65,90
7,이예준,1,99,74,97,83,60,93,75,93
7,이예준,2,83,74,79,80,66,64,72,89
7,이예준,3,81,60,99,66,74,79,60,98
7,이예준,4,61,64,60,60,75,92,87,66
